Category;What
Social life;Happy Hour/Drinking/Party
Social life;Social life 
Hobby & Culture;I am at the cinema/theater/hospital/church
Social life;Movie Theatre Concert ...
Eating;Eating
Eating;Cooking, Food preparation & management
Hobby & Culture;Arts
Hobby & Culture;Games
Hobby & Culture;Reading a book, periodicals, news, etc.
Hobby & Culture;Sport
Hobby & Culture;Voluntary work, and participatory activities
Hobby & Culture;Hobbies
Hobby & Culture;Others Entertainment and Culture
Hobby & Culture;I will participate in sports activities
Hobby & Culture;Entertainment Exhibit, and Culture
Free Time;Break (coffee, cigarette, drink, etc.)
Free Time;Personal care
Free Time;Listening to music
Free Time;Did not do anything special
Work/Study;Free Time Study
Computer/TV/Phone;Social media (Facebook Instagram etc.)
Computer/TV/Phone;Watching TV, video, YouTube, etc.
Computer/TV/Phone;Surfed or seeking via Internet
Social life;Phone/Video calling
Computer/TV/Phone;In chat on Internet or reading, sending e-mail
Work/Study;Study/work group
Work/Study;Lecture/seminar/conference/university meeting
Work/Study;I have a work/study meeting
Work/Study;I am starting classes/lessons/lab
Work/Study;Work
Rest;Rest/nap
Rest;Sleeping
Free Time;I will go to sleep
Chores;Household and family care
Chores;Grocery Shopping
Chores;Other Shopping
Travel;Travelling 
Travel;Walking
Other;Others
Other;Other
Other;No information
Other;Expired
